"Loc" "Lat" "Lon"
744 37.62744140625 -120.971000671387
745 37.9082298278809 -121.038299560547
746 38.1892318725586 -121.106300354004
747 38.4704399108887 -121.174896240234
748 38.7518615722656 -121.244102478027
749 39.0334701538086 -121.314002990723
750 39.3152809143066 -121.384696960449
751 39.5972709655762 -121.456001281738
752 39.8794403076172 -121.52799987793
753 40.1617889404297 -121.600700378418
754 40.4442901611328 -121.674102783203
755 40.7269592285156 -121.74829864502
756 41.0097808837891 -121.823196411133
757 41.2927513122559 -121.898803710938
758 41.5758514404297 -121.975303649902
759 41.8590888977051 -122.05249786377
760 42.1424598693848 -122.130500793457
761 42.4259490966797 -122.209297180176
762 42.7095413208008 -122.288902282715
763 42.9932403564453 -122.369300842285
764 43.2770385742188 -122.45059967041
765 43.5609283447266 -122.53279876709
766 43.844898223877 -122.615798950195
767 44.1289482116699 -122.699600219727
768 44.4130592346191 -122.784400939941
769 44.6972389221191 -122.870101928711
770 44.9814796447754 -122.956703186035
771 45.2657508850098 -123.04419708252
772 45.5500717163086 -123.132698059082
773 45.8344192504883 -123.222099304199
774 46.1187896728516 -123.312599182129
775 46.4031791687012 -123.403999328613
776 46.6875686645508 -123.496398925781
777 46.9719696044922 -123.589897155762
778 47.2563514709473 -123.68440246582
779 47.5407218933105 -123.779998779297
780 47.8250694274902 -123.876602172852
781 48.1093788146973 -123.974403381348
833 34.6039810180664 -119.933097839355
834 34.8822784423828 -119.992401123047
835 35.1608581542969 -120.052200317383
836 35.4397087097168 -120.112602233887
837 35.7188415527344 -120.173599243164
838 35.9982299804688 -120.23509979248
839 36.277889251709 -120.297096252441
840 36.557788848877 -120.359802246094
841 36.8379402160645 -120.422996520996
842 37.1183280944824 -120.486801147461
843 37.3989715576172 -120.551300048828
844 37.6798210144043 -120.616302490234
845 37.9609107971191 -120.681999206543
846 38.2422103881836 -120.74829864502
847 38.5237312316895 -120.815200805664
848 38.8054504394531 -120.882797241211
849 39.0873718261719 -120.950996398926
850 39.3694915771484 -121.019897460938
851 39.6517906188965 -121.089500427246
852 39.934268951416 -121.159797668457
853 40.2169303894043 -121.230796813965
854 40.4997596740723 -121.302398681641
855 40.7827491760254 -121.374801635742
856 41.0658912658691 -121.447898864746
857 41.3491706848145 -121.521797180176
858 41.6325988769531 -121.596397399902
859 41.9161796569824 -121.671699523926
860 42.1998710632324 -121.747802734375
861 42.4836807250977 -121.824798583984
862 42.7676086425781 -121.902496337891
863 43.0516510009766 -121.981002807617
864 43.3357810974121 -122.060302734375
865 43.6200218200684 -122.140502929688
866 43.9043312072754 -122.221496582031
867 44.188720703125 -122.303398132324
868 44.4731788635254 -122.386199951172
869 44.7577095031738 -122.469802856445
870 45.0422897338867 -122.554298400879
871 45.3269309997559 -122.639801025391
872 45.6115989685059 -122.726196289062
873 45.8963088989258 -122.813499450684
874 46.1810417175293 -122.901802062988
875 46.4657897949219 -122.991096496582
876 46.7505493164062 -123.081298828125
877 47.0353088378906 -123.17259979248
878 47.3200607299805 -123.26490020752
879 47.604808807373 -123.358200073242
880 47.8895301818848 -123.452598571777
933 34.6519393920898 -119.594902038574
934 34.9305191040039 -119.652702331543
935 35.2093696594238 -119.710998535156
936 35.4884986877441 -119.769897460938
937 35.7678985595703 -119.829299926758
938 36.0475807189941 -119.889297485352
939 36.3275108337402 -119.949798583984
940 36.6077003479004 -120.010902404785
941 36.8881301879883 -120.07250213623
942 37.1688194274902 -120.134803771973
943 37.4497413635254 -120.197601318359
944 37.7308883666992 -120.261001586914
945 38.0122718811035 -120.324996948242
946 38.2938613891602 -120.389701843262
947 38.5756683349609 -120.454902648926
948 38.8577003479004 -120.520797729492
949 39.1399192810059 -120.58740234375
950 39.4223289489746 -120.654602050781
951 39.7049407958984 -120.722396850586
952 39.987720489502 -120.790901184082
953 40.2706909179688 -120.86009979248
954 40.5538291931152 -120.930000305176
955 40.8371315002441 -121.000602722168
956 41.1205787658691 -121.071899414062
957 41.4041786193848 -121.143898010254
958 41.687931060791 -121.216697692871
959 41.9718208312988 -121.290199279785
960 42.2558403015137 -121.364402770996
961 42.5399703979492 -121.439399719238
962 42.82421875 -121.515197753906
963 43.1085891723633 -121.591796875
964 43.3930511474609 -121.66919708252
965 43.677619934082 -121.747398376465
966 43.9622611999512 -121.826400756836
967 44.2469902038574 -121.906303405762
968 44.5317916870117 -121.986999511719
969 44.8166618347168 -122.068603515625
970 45.1015892028809 -122.151100158691
971 45.3865585327148 -122.234397888184
972 45.6715812683105 -122.318702697754
973 45.9566383361816 -122.403900146484
974 46.2417182922363 -122.490097045898
975 46.5268287658691 -122.577102661133
976 46.811939239502 -122.665199279785
977 47.0970611572266 -122.754302978516
978 47.3821792602539 -122.844299316406
979 47.6672897338867 -122.935401916504
980 47.9523811340332 -123.027496337891
1032 34.4200897216797 -119.200401306152
1033 34.6986503601074 -119.256202697754
1034 34.9774894714355 -119.3125
1035 35.2566108703613 -119.369300842285
1036 35.5360107421875 -119.426696777344
1037 35.8156890869141 -119.484497070312
1038 36.095630645752 -119.542900085449
1039 36.3758506774902 -119.601898193359
1040 36.6563110351562 -119.661399841309
1041 36.9370193481445 -119.721496582031
1042 37.2179794311523 -119.782096862793
1043 37.4991912841797 -119.843299865723
1044 37.7806205749512 -119.905097961426
1045 38.0622901916504 -119.967399597168
1046 38.3441696166992 -120.030403137207
1047 38.6262702941895 -120.09400177002
1048 38.9085807800293 -120.158203125
1049 39.191089630127 -120.222999572754
1050 39.4738006591797 -120.288497924805
1051 39.7566986083984 -120.354598999023
1052 40.0397911071777 -120.421401977539
1053 40.3230590820312 -120.488800048828
1054 40.6064910888672 -120.556900024414
1055 40.8900909423828 -120.625701904297
1056 41.1738510131836 -120.695198059082
1057 41.4577598571777 -120.765403747559
1058 41.7418212890625 -120.836303710938
1059 42.0260200500488 -120.907897949219
1060 42.3103485107422 -120.980201721191
1061 42.594799041748 -121.053298950195
1062 42.8793716430664 -121.127197265625
1063 43.1640510559082 -121.201797485352
1064 43.4488410949707 -121.277297973633
1065 43.7337303161621 -121.353500366211
1066 44.0186996459961 -121.43049621582
1067 44.3037490844727 -121.50830078125
1068 44.5888786315918 -121.58699798584
1069 44.874080657959 -121.666496276855
1070 45.1593399047852 -121.74690246582
1071 45.4446601867676 -121.828201293945
1072 45.7300109863281 -121.910301208496
1073 46.0154113769531 -121.99340057373
1074 46.300838470459 -122.07740020752
1075 46.5862884521484 -122.162300109863
1076 46.8717498779297 -122.248100280762
1077 47.1572303771973 -122.334899902344
1131 34.1867790222168 -118.808799743652
1132 34.4652900695801 -118.862602233887
1133 34.7440986633301 -118.916999816895
1134 35.0232009887695 -118.971801757812
1135 35.3025894165039 -119.027099609375
1136 35.5822486877441 -119.082901000977
1137 35.862190246582 -119.139198303223
1138 36.1424102783203 -119.195999145508
1139 36.4228897094727 -119.253402709961
1140 36.7036209106445 -119.311302185059
1141 36.9846000671387 -119.36979675293
1142 37.2658309936523 -119.428802490234
1143 37.5473098754883 -119.488403320312
1144 37.8290214538574 -119.548500061035
1145 38.1109580993652 -119.609298706055
1146 38.3931198120117 -119.670600891113
1147 38.6754989624023 -119.732498168945
1148 38.9580993652344 -119.794998168945
1149 39.2408905029297 -119.858100891113
1150 39.5238990783691 -119.921798706055
1151 39.8070793151855 -119.986198425293
1152 40.0904502868652 -120.051200866699
1153 40.3740196228027 -120.116798400879
1154 40.6577415466309 -120.183097839355
